 36 288
  0   1   2   3   4   5 
 17  23  29  35   5  11 
 12  18  24  30   0   6 
 13  19  25  31   1   7 
 14  20  26  32   2   8 

  9   3  33  27  21  15 
 10   4  34  28  22  16 
 11   5  35  29  23  17 
  6   0  30  24  18  12 
  7   1  31  25  19  13 
  8   2  32  26  20  14 

 14  20  26  32   2   8 
 13  19  25  31   1   7 
 12  18  24  30   0   6 
 17  23  29  35   5  11 
 16  22  28  34   4  10 
 15  21  27  33   3   9 

  8   2  32  26  20  14 
  7   1  31  25  19  13 
  6   0  30  24  18  12 
 11   5  35  29  23  17 
 10   4  34  28  22  16 
  9   3  33  27  21  15 

 21  22  23  18  19  20 
 27  28  29  24  25  26 
 33  34  35  30  31  32 
  3   4   5   0   1   2 
  9  10  11   6   7   8 
 15  16  17  12  13  14 

 20  19  18  23  22  21 
 26  25  24  29  28  27 
 32  31  30  35  34  33 
  2   1   0   5   4   3 
  8   7   6  11  10   9 
 14  13  12  17  16  15 

 15  16  17  12  13  14 
  9  10  11   6   7   8 
  3   4   5   0   1   2 
 33  34  35  30  31  32 
 27  28  29  24  25  26 
 21  22  23  18  19  20 

 14  13  12  17  16  15 
  8   7   6  11  10   9 
  2   1   0   5   4   3 
 32  31  30  35  34  33 
 26  25  24  29  28  27 
 20  19  18  23  22  21 

 21  27  33   3   9  15 
 22  28  34   4  10  16 
 23  29  35   5  11  17 
 18  24  30   0   6  12 
 19  25  31   1   7  13 
 20  26  32   2   8  14 

 15   9   3  33  27  21 
 16  10   4  34  28  22 
 17  11   5  35  29  23 
 12   6   0  30  24  18 
 13   7   1  31  25  19 
 14   8   2  32  26  20 

 20  26  32   2   8  14 
 19  25  31   1   7  13 
 18  24  30   0   6  12 
 23  29  35   5  11  17 
 22  28  34   4  10  16 
 21  27  33   3   9  15 

 14   8   2  32  26  20 
 13   7   1  31  25  19 
 12   6   0  30  24  18 
 17  11   5  35  29  23 
 16  10   4  34  28  22 
 15   9   3  33  27  21 

 22  23  18  19  20  21 
 28  29  24  25  26  27 
 34  35  30  31  32  33 
  4   5   0   1   2   3 
 10  11   6   7   8   9 
 16  17  12  13  14  15 

 21  20  19  18  23  22 
 27  26  25  24  29  28 
 33  32  31  30  35  34 
  3   2   1   0   5   4 
  9   8   7   6  11  10 
 15  14  13  12  17  16 

 16  17  12  13  14  15 
 10  11   6   7   8   9 
  4   5   0   1   2   3 
 34  35  30  31  32  33 
 28  29  24  25  26  27 
 22  23  18  19  20  21 

 15  14  13  12  17  16 
  9   8   7   6  11  10 
  3   2   1   0   5   4 
 33  32  31  30  35  34 
 27  26  25  24  29  28 
 21  20  19  18  23  22 

 27  33   3   9  15  21 
 28  34   4  10  16  22 
 29  35   5  11  17  23 
 24  30   0   6  12  18 
 25  31   1   7  13  19 
 26  32   2   8  14  20 

 21  15   9   3  33  27 
 22  16  10   4  34  28 
 23  17  11   5  35  29 
 18  12   6   0  30  24 
 19  13   7   1  31  25 
 20  14   8   2  32  26 

 26  32   2   8  14  20 
 25  31   1   7  13  19 
 24  30   0   6  12  18 
 29  35   5  11  17  23 
 28  34   4  10  16  22 
 27  33   3   9  15  21 

 20  14   8   2  32  26 
 19  13   7   1  31  25 
 18  12   6   0  30  24 
 23  17  11   5  35  29 
 22  16  10   4  34  28 
 21  15   9   3  33  27 

 23  18  19  20  21  22 
 29  24  25  26  27  28 
 35  30  31  32  33  34 
  5   0   1   2   3   4 
 11   6   7   8   9  10 
 17  12  13  14  15  16 

 22  21  20  19  18  23 
 28  27  26  25  24  29 
 34  33  32  31  30  35 
  4   3   2   1   0   5 
 10   9   8   7   6  11 
 16  15  14  13  12  17 

 17  12  13  14  15  16 
 11   6   7   8   9  10 
  5   0   1   2   3   4 
 35  30  31  32  33  34 
 29  24  25  26  27  28 
 23  18  19  20  21  22 

 16  15  14  13  12  17 
 10   9   8   7   6  11 
  4   3   2   1   0   5 
 34  33  32  31  30  35 
 28  27  26  25  24  29 
 22  21  20  19  18  23 

 33   3   9  15  21  27 
 34   4  10  16  22  28 
 35   5  11  17  23  29 
 30   0   6  12  18  24 
 31   1   7  13  19  25 
 32   2   8  14  20  26 

 27  21  15   9   3  33 
 28  22  16  10   4  34 
 29  23  17  11   5  35 
 24  18  12   6   0  30 
 25  19  13   7   1  31 
 26  20  14   8   2  32 

 32   2   8  14  20  26 
 31   1   7  13  19  25 
 30   0   6  12  18  24 
 35   5  11  17  23  29 
 34   4  10  16  22  28 
 33   3   9  15  21  27 

 26  20  14   8   2  32 
 25  19  13   7   1  31 
 24  18  12   6   0  30 
 29  23  17  11   5  35 
 28  22  16  10   4  34 
 27  21  15   9   3  33 

 24  25  26  27  28  29 
 30  31  32  33  34  35 
  0   1   2   3   4   5 
  6   7   8   9  10  11 
 12  13  14  15  16  17 
 18  19  20  21  22  23 

 29  28  27  26  25  24 
 35  34  33  32  31  30 
  5   4   3   2   1   0 
 11  10   9   8   7   6 
 17  16  15  14  13  12 
 23  22  21  20  19  18 

 18  19  20  21  22  23 
 12  13  14  15  16  17 
  6   7   8   9  10  11 
  0   1   2   3   4   5 
 30  31  32  33  34  35 
 24  25  26  27  28  29 

 23  22  21  20  19  18 
 17  16  15  14  13  12 
 11  10   9   8   7   6 
  5   4   3   2   1   0 
 35  34  33  32  31  30 
 29  28  27  26  25  24 

  4  10  16  22  28  34 
  5  11  17  23  29  35 
  0   6  12  18  24  30 
  1   7  13  19  25  31 
  2   8  14  20  26  32 
  3   9  15  21  27  33 

 34  28  22  16  10   4 
 35  29  23  17  11   5 
 30  24  18  12   6   0 
 31  25  19  13   7   1 
 32  26  20  14   8   2 
 33  27  21  15   9   3 

  3   9  15  21  27  33 
  2   8  14  20  26  32 
  1   7  13  19  25  31 
  0   6  12  18  24  30 
  5  11  17  23  29  35 
  4  10  16  22  28  34 

 33  27  21  15   9   3 
 32  26  20  14   8   2 
 31  25  19  13   7   1 
 30  24  18  12   6   0 
 35  29  23  17  11   5 
 34  28  22  16  10   4 

 25  26  27  28  29  24 
 31  32  33  34  35  30 
  1   2   3   4   5   0 
  7   8   9  10  11   6 
 13  14  15  16  17  12 
 19  20  21  22  23  18 

 24  29  28  27  26  25 
 30  35  34  33  32  31 
  0   5   4   3   2   1 
  6  11  10   9   8   7 
 12  17  16  15  14  13 
 18  23  22  21  20  19 

 19  20  21  22  23  18 
 13  14  15  16  17  12 
  7   8   9  10  11   6 
  1   2   3   4   5   0 
 31  32  33  34  35  30 
 25  26  27  28  29  24 

 18  23  22  21  20  19 
 12  17  16  15  14  13 
  6  11  10   9   8   7 
  0   5   4   3   2   1 
 30  35  34  33  32  31 
 24  29  28  27  26  25 

 10  16  22  28  34   4 
 11  17  23  29  35   5 
  6  12  18  24  30   0 
  7  13  19  25  31   1 
  8  14  20  26  32   2 
  9  15  21  27  33   3 

  4  34  28  22  16  10 
  5  35  29  23  17  11 
  0  30  24  18  12   6 
  1  31  25  19  13   7 
  2  32  26  20  14   8 
  3  33  27  21  15   9 

  9  15  21  27  33   3 
  8  14  20  26  32   2 
  7  13  19  25  31   1 
  6  12  18  24  30   0 
 11  17  23  29  35   5 
 10  16  22  28  34   4 

  3  33  27  21  15   9 
  2  32  26  20  14   8 
  1  31  25  19  13   7 
  0  30  24  18  12   6 
  5  35  29  23  17  11 
  4  34  28  22  16  10 

 26  27  28  29  24  25 
 32  33  34  35  30  31 
  2   3   4   5   0   1 
  8   9  10  11   6   7 
 14  15  16  17  12  13 
 20  21  22  23  18  19 

 25  24  29  28  27  26 
 31  30  35  34  33  32 
  1   0   5   4   3   2 
  7   6  11  10   9   8 
 13  12  17  16  15  14 
 19  18  23  22  21  20 

 20  21  22  23  18  19 
 14  15  16  17  12  13 
  8   9  10  11   6   7 
  2   3   4   5   0   1 
 32  33  34  35  30  31 
 26  27  28  29  24  25 

 19  18  23  22  21  20 
 13  12  17  16  15  14 
  7   6  11  10   9   8 
  1   0   5   4   3   2 
 31  30  35  34  33  32 
 25  24  29  28  27  26 

 16  22  28  34   4  10 
 17  23  29  35   5  11 
 12  18  24  30   0   6 
 13  19  25  31   1   7 
 14  20  26  32   2   8 
 15  21  27  33   3   9 

 10   4  34  28  22  16 
 11   5  35  29  23  17 
  6   0  30  24  18  12 
  7   1  31  25  19  13 
  8   2  32  26  20  14 
  9   3  33  27  21  15 

 15  21  27  33   3   9 
 14  20  26  32   2   8 
 13  19  25  31   1   7 
 12  18  24  30   0   6 
 17  23  29  35   5  11 
 16  22  28  34   4  10 

  9   3  33  27  21  15 
  8   2  32  26  20  14 
  7   1  31  25  19  13 
  6   0  30  24  18  12 
 11   5  35  29  23  17 
 10   4  34  28  22  16 

 27  28  29  24  25  26 
 33  34  35  30  31  32 
  3   4   5   0   1   2 
  9  10  11   6   7   8 
 15  16  17  12  13  14 
 21  22  23  18  19  20 

 26  25  24  29  28  27 
 32  31  30  35  34  33 
  2   1   0   5   4   3 
  8   7   6  11  10   9 
 14  13  12  17  16  15 
 20  19  18  23  22  21 

 21  22  23  18  19  20 
 15  16  17  12  13  14 
  9  10  11   6   7   8 
  3   4   5   0   1   2 
 33  34  35  30  31  32 
 27  28  29  24  25  26 

 20  19  18  23  22  21 
 14  13  12  17  16  15 
  8   7   6  11  10   9 
  2   1   0   5   4   3 
 32  31  30  35  34  33 
 26  25  24  29  28  27 

 22  28  34   4  10  16 
 23  29  35   5  11  17 
 18  24  30   0   6  12 
 19  25  31   1   7  13 
 20  26  32   2   8  14 
 21  27  33   3   9  15 

 16  10   4  34  28  22 
 17  11   5  35  29  23 
 12   6   0  30  24  18 
 13   7   1  31  25  19 
 14   8   2  32  26  20 
 15   9   3  33  27  21 

 21  27  33   3   9  15 
 20  26  32   2   8  14 
 19  25  31   1   7  13 
 18  24  30   0   6  12 
 23  29  35   5  11  17 
 22  28  34   4  10  16 

 15   9   3  33  27  21 
 14   8   2  32  26  20 
 13   7   1  31  25  19 
 12   6   0  30  24  18 
 17  11   5  35  29  23 
 16  10   4  34  28  22 

 28  29  24  25  26  27 
 34  35  30  31  32  33 
  4   5   0   1   2   3 
 10  11   6   7   8   9 
 16  17  12  13  14  15 
 22  23  18  19  20  21 

 27  26  25  24  29  28 
 33  32  31  30  35  34 
  3   2   1   0   5   4 
  9   8   7   6  11  10 
 15  14  13  12  17  16 
 21  20  19  18  23  22 

 22  23  18  19  20  21 
 16  17  12  13  14  15 
 10  11   6   7   8   9 
  4   5   0   1   2   3 
 34  35  30  31  32  33 
 28  29  24  25  26  27 

 21  20  19  18  23  22 
 15  14  13  12  17  16 
  9   8   7   6  11  10 
  3   2   1   0   5   4 
 33  32  31  30  35  34 
 27  26  25  24  29  28 

 28  34   4  10  16  22 
 29  35   5  11  17  23 
 24  30   0   6  12  18 
 25  31   1   7  13  19 
 26  32   2   8  14  20 
 27  33   3   9  15  21 

 22  16  10   4  34  28 
 23  17  11   5  35  29 
 18  12   6   0  30  24 
 19  13   7   1  31  25 
 20  14   8   2  32  26 
 21  15   9   3  33  27 

 27  33   3   9  15  21 
 26  32   2   8  14  20 
 25  31   1   7  13  19 
 24  30   0   6  12  18 
 29  35   5  11  17  23 
 28  34   4  10  16  22 

 21  15   9   3  33  27 
 20  14   8   2  32  26 
 19  13   7   1  31  25 
 18  12   6   0  30  24 
 23  17  11   5  35  29 
 22  16  10   4  34  28 

 29  24  25  26  27  28 
 35  30  31  32  33  34 
  5   0   1   2   3   4 
 11   6   7   8   9  10 
 17  12  13  14  15  16 
 23  18  19  20  21  22 

 28  27  26  25  24  29 
 34  33  32  31  30  35 
  4   3   2   1   0   5 
 10   9   8   7   6  11 
 16  15  14  13  12  17 
 22  21  20  19  18  23 

 23  18  19  20  21  22 
 17  12  13  14  15  16 
 11   6   7   8   9  10 
  5   0   1   2   3   4 
 35  30  31  32  33  34 
 29  24  25  26  27  28 

 22  21  20  19  18  23 
 16  15  14  13  12  17 
 10   9   8   7   6  11 
  4   3   2   1   0   5 
 34  33  32  31  30  35 
 28  27  26  25  24  29 

 34   4  10  16  22  28 
 35   5  11  17  23  29 
 30   0   6  12  18  24 
 31   1   7  13  19  25 
 32   2   8  14  20  26 
 33   3   9  15  21  27 

 28  22  16  10   4  34 
 29  23  17  11   5  35 
 24  18  12   6   0  30 
 25  19  13   7   1  31 
 26  20  14   8   2  32 
 27  21  15   9   3  33 

 33   3   9  15  21  27 
 32   2   8  14  20  26 
 31   1   7  13  19  25 
 30   0   6  12  18  24 
 35   5  11  17  23  29 
 34   4  10  16  22  28 

 27  21  15   9   3  33 
 26  20  14   8   2  32 
 25  19  13   7   1  31 
 24  18  12   6   0  30 
 29  23  17  11   5  35 
 28  22  16  10   4  34 

 30  31  32  33  34  35 
  0   1   2   3   4   5 
  6   7   8   9  10  11 
 12  13  14  15  16  17 
 18  19  20  21  22  23 
 24  25  26  27  28  29 

 35  34  33  32  31  30 
  5   4   3   2   1   0 
 11  10   9   8   7   6 
 17  16  15  14  13  12 
 23  22  21  20  19  18 
 29  28  27  26  25  24 

 24  25  26  27  28  29 
 18  19  20  21  22  23 
 12  13  14  15  16  17 
  6   7   8   9  10  11 
  0   1   2   3   4   5 
 30  31  32  33  34  35 

 29  28  27  26  25  24 
 23  22  21  20  19  18 
 17  16  15  14  13  12 
 11  10   9   8   7   6 
  5   4   3   2   1   0 
 35  34  33  32  31  30 

  5  11  17  23  29  35 
  0   6  12  18  24  30 
  1   7  13  19  25  31 
  2   8  14  20  26  32 
  3   9  15  21  27  33 
  4  10  16  22  28  34 

 35  29  23  17  11   5 
 30  24  18  12   6   0 
 31  25  19  13   7   1 
 32  26  20  14   8   2 
 33  27  21  15   9   3 
 34  28  22  16  10   4 

  4  10  16  22  28  34 
  3   9  15  21  27  33 
  2   8  14  20  26  32 
  1   7  13  19  25  31 
  0   6  12  18  24  30 
  5  11  17  23  29  35 

 34  28  22  16  10   4 
 33  27  21  15   9   3 
 32  26  20  14   8   2 
 31  25  19  13   7   1 
 30  24  18  12   6   0 
 35  29  23  17  11   5 

 31  32  33  34  35  30 
  1   2   3   4   5   0 
  7   8   9  10  11   6 
 13  14  15  16  17  12 
 19  20  21  22  23  18 
 25  26  27  28  29  24 

 30  35  34  33  32  31 
  0   5   4   3   2   1 
  6  11  10   9   8   7 
 12  17  16  15  14  13 
 18  23  22  21  20  19 
 24  29  28  27  26  25 

 25  26  27  28  29  24 
 19  20  21  22  23  18 
 13  14  15  16  17  12 
  7   8   9  10  11   6 
  1   2   3   4   5   0 
 31  32  33  34  35  30 

 24  29  28  27  26  25 
 18  23  22  21  20  19 
 12  17  16  15  14  13 
  6  11  10   9   8   7 
  0   5   4   3   2   1 
 30  35  34  33  32  31 

 11  17  23  29  35   5 
  6  12  18  24  30   0 
  7  13  19  25  31   1 
  8  14  20  26  32   2 
  9  15  21  27  33   3 
 10  16  22  28  34   4 

  5  35  29  23  17  11 
  0  30  24  18  12   6 
  1  31  25  19  13   7 
  2  32  26  20  14   8 
  3  33  27  21  15   9 
  4  34  28  22  16  10 

 10  16  22  28  34   4 
  9  15  21  27  33   3 
  8  14  20  26  32   2 
  7  13  19  25  31   1 
  6  12  18  24  30   0 
 11  17  23  29  35   5 

  4  34  28  22  16  10 
  3  33  27  21  15   9 
  2  32  26  20  14   8 
  1  31  25  19  13   7 
  0  30  24  18  12   6 
  5  35  29  23  17  11 

 32  33  34  35  30  31 
  2   3   4   5   0   1 
  8   9  10  11   6   7 
 14  15  16  17  12  13 
 20  21  22  23  18  19 
 26  27  28  29  24  25 

 31  30  35  34  33  32 
  1   0   5   4   3   2 
  7   6  11  10   9   8 
 13  12  17  16  15  14 
 19  18  23  22  21  20 
 25  24  29  28  27  26 

 26  27  28  29  24  25 
 20  21  22  23  18  19 
 14  15  16  17  12  13 
  8   9  10  11   6   7 
  2   3   4   5   0   1 
 32  33  34  35  30  31 

 25  24  29  28  27  26 
 19  18  23  22  21  20 
 13  12  17  16  15  14 
  7   6  11  10   9   8 
  1   0   5   4   3   2 
 31  30  35  34  33  32 

 17  23  29  35   5  11 
 12  18  24  30   0   6 
 13  19  25  31   1   7 
 14  20  26  32   2   8 
 15  21  27  33   3   9 
 16  22  28  34   4  10 

 11   5  35  29  23  17 
  6   0  30  24  18  12 
  7   1  31  25  19  13 
  8   2  32  26  20  14 
  9   3  33  27  21  15 
 10   4  34  28  22  16 

 16  22  28  34   4  10 
 15  21  27  33   3   9 
 14  20  26  32   2   8 
 13  19  25  31   1   7 
 12  18  24  30   0   6 
 17  23  29  35   5  11 

 10   4  34  28  22  16 
  9   3  33  27  21  15 
  8   2  32  26  20  14 
  7   1  31  25  19  13 
  6   0  30  24  18  12 
 11   5  35  29  23  17 

 33  34  35  30  31  32 
  3   4   5   0   1   2 
  9  10  11   6   7   8 
 15  16  17  12  13  14 
 21  22  23  18  19  20 
 27  28  29  24  25  26 

 32  31  30  35  34  33 
  2   1   0   5   4   3 
  8   7   6  11  10   9 
 14  13  12  17  16  15 
 20  19  18  23  22  21 
 26  25  24  29  28  27 

 27  28  29  24  25  26 
 21  22  23  18  19  20 
 15  16  17  12  13  14 
  9  10  11   6   7   8 
  3   4   5   0   1   2 
 33  34  35  30  31  32 

 26  25  24  29  28  27 
 20  19  18  23  22  21 
 14  13  12  17  16  15 
  8   7   6  11  10   9 
  2   1   0   5   4   3 
 32  31  30  35  34  33 

 23  29  35   5  11  17 
 18  24  30   0   6  12 
 19  25  31   1   7  13 
 20  26  32   2   8  14 
 21  27  33   3   9  15 
 22  28  34   4  10  16 

 17  11   5  35  29  23 
 12   6   0  30  24  18 
 13   7   1  31  25  19 
 14   8   2  32  26  20 
 15   9   3  33  27  21 
 16  10   4  34  28  22 

 22  28  34   4  10  16 
 21  27  33   3   9  15 
 20  26  32   2   8  14 
 19  25  31   1   7  13 
 18  24  30   0   6  12 
 23  29  35   5  11  17 

 16  10   4  34  28  22 
 15   9   3  33  27  21 
 14   8   2  32  26  20 
 13   7   1  31  25  19 
 12   6   0  30  24  18 
 17  11   5  35  29  23 

 34  35  30  31  32  33 
  4   5   0   1   2   3 
 10  11   6   7   8   9 
 16  17  12  13  14  15 
 22  23  18  19  20  21 
 28  29  24  25  26  27 

 33  32  31  30  35  34 
  3   2   1   0   5   4 
  9   8   7   6  11  10 
 15  14  13  12  17  16 
 21  20  19  18  23  22 
 27  26  25  24  29  28 

 28  29  24  25  26  27 
 22  23  18  19  20  21 
 16  17  12  13  14  15 
 10  11   6   7   8   9 
  4   5   0   1   2   3 
 34  35  30  31  32  33 

 27  26  25  24  29  28 
 21  20  19  18  23  22 
 15  14  13  12  17  16 
  9   8   7   6  11  10 
  3   2   1   0   5   4 
 33  32  31  30  35  34 

 29  35   5  11  17  23 
 24  30   0   6  12  18 
 25  31   1   7  13  19 
 26  32   2   8  14  20 
 27  33   3   9  15  21 
 28  34   4  10  16  22 

 23  17  11   5  35  29 
 18  12   6   0  30  24 
 19  13   7   1  31  25 
 20  14   8   2  32  26 
 21  15   9   3  33  27 
 22  16  10   4  34  28 

 28  34   4  10  16  22 
 27  33   3   9  15  21 
 26  32   2   8  14  20 
 25  31   1   7  13  19 
 24  30   0   6  12  18 
 29  35   5  11  17  23 

 22  16  10   4  34  28 
 21  15   9   3  33  27 
 20  14   8   2  32  26 
 19  13   7   1  31  25 
 18  12   6   0  30  24 
 23  17  11   5  35  29 

 35  30  31  32  33  34 
  5   0   1   2   3   4 
 11   6   7   8   9  10 
 17  12  13  14  15  16 
 23  18  19  20  21  22 
 29  24  25  26  27  28 

 34  33  32  31  30  35 
  4   3   2   1   0   5 
 10   9   8   7   6  11 
 16  15  14  13  12  17 
 22  21  20  19  18  23 
 28  27  26  25  24  29 

 29  24  25  26  27  28 
 23  18  19  20  21  22 
 17  12  13  14  15  16 
 11   6   7   8   9  10 
  5   0   1   2   3   4 
 35  30  31  32  33  34 

 28  27  26  25  24  29 
 22  21  20  19  18  23 
 16  15  14  13  12  17 
 10   9   8   7   6  11 
  4   3   2   1   0   5 
 34  33  32  31  30  35 

 35   5  11  17  23  29 
 30   0   6  12  18  24 
 31   1   7  13  19  25 
 32   2   8  14  20  26 
 33   3   9  15  21  27 
 34   4  10  16  22  28 

 29  23  17  11   5  35 
 24  18  12   6   0  30 
 25  19  13   7   1  31 
 26  20  14   8   2  32 
 27  21  15   9   3  33 
 28  22  16  10   4  34 

 34   4  10  16  22  28 
 33   3   9  15  21  27 
 32   2   8  14  20  26 
 31   1   7  13  19  25 
 30   0   6  12  18  24 
 35   5  11  17  23  29 

 28  22  16  10   4  34 
 27  21  15   9   3  33 
 26  20  14   8   2  32 
 25  19  13   7   1  31 
 24  18  12   6   0  30 
 29  23  17  11   5  35

  8   5   8  12  16  20  29  31  33 
  8   5   7   9  17  20  24  28  32 
  8   4   7  15  17  19  28  30  32 
  8   4   6   8  16  19  27  29  31 
  8   3   7  11  15  18  26  28  30 
  8   3   6  14  16  18  27  31  35 
  8   3   5   7  16  18  20  28  31 
  8   2  11  13  15  23  26  30  34 
  8   2   6  10  14  23  25  27  35 
  8   2   4   6  15  19  23  27  30 
  8   1  10  12  14  22  25  33  35 
  8   1   9  11  13  22  24  26  34 
  8   1   5   9  12  20  22  24  33 
  8   1   3  11  14  18  22  26  35 
  8   0   9  13  17  21  24  32  34 
  8   0   8  10  12  21  25  29  33 
  8   0   4   8  17  19  21  29  32 
  8   0   2  10  13  21  23  25  34 
